prompt_id,category,candidate,grade_20,domain_fitness,precision,hallucination,noise,coherence,actionability_score,practical_relevance,compression_quality,jargon_density,concrete_runtime_alignment,terrain_alignment,skipped
BTP-01,BTP structurel,baseline,16.2,1.0,0.75,0.2,0.15,0.78,0.55,0.7,0.65,0.0,0.72,0.45,False
BTP-01,BTP structurel,frugale,18.3,0.75,0.825,0.15,0.15,0.875,0.875,0.725,0.875,0.0,0.688,0.6,False
BTP-01,BTP structurel,anti_hallucination,15.6,0.525,0.713,0.195,0.15,0.763,0.663,0.523,0.613,0.027,0.496,0.51,False
BTP-01,BTP structurel,structurelle,15.8,0.65,0.775,0.17,0.35,0.825,0.675,0.635,0.675,0.185,0.603,0.56,False
BTP-01,BTP structurel,runtime_rapide,16.4,0.525,0.713,0.195,0.15,0.763,0.813,0.523,0.763,0.0,0.496,0.51,False
BTP-01,BTP structurel,temporal_survival,16.1,0.65,0.775,0.17,0.35,0.825,0.725,0.635,0.675,0.115,0.603,0.56,False
BTP-01,BTP structurel,propagation_forte,15.9,0.65,0.775,0.17,0.35,0.825,0.675,0.635,0.675,0.135,0.603,0.56,False
BTP-02,BTP structurel,baseline,16.2,1.0,0.75,0.2,0.15,0.78,0.55,0.7,0.65,0.0,0.72,0.45,False
BTP-02,BTP structurel,frugale,14.1,0.3,0.6,0.24,0.15,0.65,0.65,0.32,0.65,0.02,0.305,0.42,False
BTP-02,BTP structurel,anti_hallucination,15.4,0.5,0.7,0.2,0.15,0.75,0.65,0.5,0.6,0.03,0.475,0.5,False
BTP-02,BTP structurel,structurelle,19.1,1.0,0.95,0.1,0.35,1.0,0.85,0.95,0.85,0.15,0.9,0.7,False
BTP-02,BTP structurel,runtime_rapide,,0.1,0.5,0.28,0.15,0.55,0.6,0.14,0.55,0.04,0.135,0.34,True
BTP-02,BTP structurel,temporal_survival,17.1,0.75,0.825,0.15,0.35,0.875,0.775,0.725,0.725,0.105,0.688,0.6,False
BTP-02,BTP structurel,propagation_forte,19.7,1.0,0.95,0.1,0.15,1.0,0.85,0.95,0.85,0.1,0.9,0.7,False
BTP-03,BTP structurel,baseline,16.2,1.0,0.75,0.2,0.15,0.78,0.55,0.7,0.65,0.0,0.72,0.45,False
BTP-03,BTP structurel,frugale,,0.1,0.5,0.28,0.15,0.55,0.55,0.14,0.55,0.04,0.135,0.34,True
BTP-03,BTP structurel,anti_hallucination,15.4,0.5,0.7,0.2,0.15,0.75,0.65,0.5,0.6,0.03,0.475,0.5,False
BTP-03,BTP structurel,structurelle,19.1,1.0,0.95,0.1,0.35,1.0,0.85,0.95,0.85,0.15,0.9,0.7,False
BTP-03,BTP structurel,runtime_rapide,16.1,0.5,0.7,0.2,0.15,0.75,0.8,0.5,0.75,0.0,0.475,0.5,False
BTP-03,BTP structurel,temporal_survival,14.7,0.5,0.7,0.2,0.35,0.75,0.65,0.5,0.6,0.13,0.475,0.5,False
BTP-03,BTP structurel,propagation_forte,14.5,0.5,0.7,0.2,0.35,0.75,0.6,0.5,0.6,0.15,0.475,0.5,False
PAT-01,Pathologies lentes,baseline,16.2,1.0,0.75,0.2,0.15,0.78,0.55,0.7,0.65,0.0,0.72,0.45,False
PAT-01,Pathologies lentes,frugale,16.3,0.533,0.717,0.193,0.15,0.767,0.767,0.53,0.767,0.0,0.503,0.513,False
PAT-01,Pathologies lentes,anti_hallucination,14.1,0.367,0.633,0.227,0.15,0.683,0.583,0.38,0.533,0.043,0.362,0.447,False
PAT-01,Pathologies lentes,structurelle,16.2,0.7,0.8,0.16,0.35,0.85,0.7,0.68,0.7,0.18,0.645,0.58,False
PAT-01,Pathologies lentes,runtime_rapide,15.2,0.4,0.65,0.22,0.15,0.7,0.75,0.41,0.7,0.01,0.39,0.46,False
PAT-01,Pathologies lentes,temporal_survival,15.0,0.533,0.717,0.193,0.35,0.767,0.667,0.53,0.617,0.127,0.503,0.513,False
PAT-01,Pathologies lentes,propagation_forte,16.4,0.7,0.8,0.16,0.35,0.85,0.7,0.68,0.7,0.13,0.645,0.58,False
PAT-02,Pathologies lentes,baseline,16.2,1.0,0.75,0.2,0.15,0.78,0.55,0.7,0.65,0.0,0.72,0.45,False
PAT-02,Pathologies lentes,frugale,16.0,0.5,0.7,0.2,0.15,0.75,0.75,0.5,0.75,0.0,0.475,0.5,False
PAT-02,Pathologies lentes,anti_hallucination,15.4,0.5,0.7,0.2,0.15,0.75,0.65,0.5,0.6,0.03,0.475,0.5,False
PAT-02,Pathologies lentes,structurelle,19.1,1.0,0.95,0.1,0.35,1.0,0.85,0.95,0.85,0.15,0.9,0.7,False
PAT-02,Pathologies lentes,runtime_rapide,,0.1,0.5,0.28,0.15,0.55,0.6,0.14,0.55,0.04,0.135,0.34,True
PAT-02,Pathologies lentes,temporal_survival,19.9,1.0,0.95,0.1,0.15,1.0,0.9,0.95,0.85,0.08,0.9,0.7,False
PAT-02,Pathologies lentes,propagation_forte,19.7,1.0,0.95,0.1,0.15,1.0,0.85,0.95,0.85,0.1,0.9,0.7,False
PAT-03,Pathologies lentes,baseline,16.2,1.0,0.75,0.2,0.15,0.78,0.55,0.7,0.65,0.0,0.72,0.45,False
PAT-03,Pathologies lentes,frugale,20.0,1.0,0.95,0.1,0.15,1.0,1.0,0.95,1.0,0.0,0.9,0.7,False
